vias M4_M3 69.920000 58.170000 71.860000 60.110000  R0 4 4
vias M4_M3 34.025000 17.560000 35.965000 19.500000  R0 4 4
vias M5_M4 34.025000 17.560000 35.965000 19.500000  R0 4 4
vias M5_M4 39.440000 58.170000 41.380000 60.110000  R0 4 4
vias M5_M4 69.920000 58.170000 71.860000 60.110000  R0 4 4
vias M3_M2 32.385000 11.155000 33.285000 13.095000  R0 4 2
vias M3_M2 84.390000 9.620000 85.290000 11.560000  R0 4 2
vias M3_M2 90.000000 12.560000 90.380000 14.500000  R0 4 1
vias M3_M2 90.000000 55.410000 90.380000 57.350000  R0 4 1
vias M3_M2 86.920000 55.410000 87.300000 57.350000  R0 4 1
vias M6_M5 56.870000 19.900000 59.080000 21.400000  R0 1 2
